Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"ACTPOL-534,507,543 and 484",Chrome 76.0.3809.100,Enhancements Vreemdelingen Module(V 6.6),,2019-08-22 20:02:01,2019-08-22 20:09:49,7m - 47.502s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-534,Chrome 76.0.3809.100,"Description:

 

After selecting the record in ""Opsporing "" and clicking on Verdachte. it's displayed all fields are invisible.

 

Solution:

Data should be displayed in proper format .

 

Test plan:

Step 1: Go to Opsporing: Case Screening Select existing user

Step 2: Go to Verdachte

Step 3: View on Verdachte it is displaying invisible fields.

 

Navigation:
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Nieuw Ongeval""))",Chrome 76.0.3809.100,Click new ongeval btn,,2019-08-22 20:09:00,2019-08-22 20:09:00,0.765s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-22 20:09:00,2019-08-22 20:09:05,5.005s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Algemeen tab""))",Chrome 76.0.3809.100,Click Algemeen tab,,2019-08-22 20:09:05,2019-08-22 20:09:06,0.599s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-22 20:09:06,2019-08-22 20:09:07,1.004s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Partijen or Objecten""))",Chrome 76.0.3809.100,Click Partijen or Objecten tab,,2019-08-22 20:09:07,2019-08-22 20:09:08,0.606s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-22 20:09:08,2019-08-22 20:09:09,1.005s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Partijen or Objecten new""))",Chrome 76.0.3809.100,Click Partijen or Objecten new btn,,2019-08-22 20:09:09,2019-08-22 20:09:09,0.608s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-22 20:09:09,2019-08-22 20:09:11,2.005s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Radio Voertuig""))",Chrome 76.0.3809.100,Click radio btn Voertuig,,2019-08-22 20:09:11,2019-08-22 20:09:12,0.584s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-22 20:09:12,2019-08-22 20:09:14,2.005s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Voertuig nummer new""))",Chrome 76.0.3809.100,Click Voertuig nummer new ,,2019-08-22 20:09:14,2019-08-22 20:09:14,0.607s,PASSED
delay(4),Chrome 76.0.3809.100,,,2019-08-22 20:09:14,2019-08-22 20:09:18,4.006s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Voertuig new btn""))",Chrome 76.0.3809.100,Click Voertuig new btn,,2019-08-22 20:09:18,2019-08-22 20:09:23,4.988s,PASSED
delay(4),Chrome 76.0.3809.100,,,2019-08-22 20:09:23,2019-08-22 20:09:27,4.004s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Nieuw Voertuig edit default""))",Chrome 76.0.3809.100,"Click Voertuig select
",,2019-08-22 20:09:27,2019-08-22 20:09:28,0.729s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-22 20:09:28,2019-08-22 20:09:31,3.006s,PASSED
"selectOptionByLabel(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Reden Inschrijving""), ""ZAAKWAARNEMING"", false)",Chrome 76.0.3809.100,Select required drop down,,2019-08-22 20:09:31,2019-08-22 20:09:32,0.409s,PASSED
